DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;STIMBERECHTIGTE;EINGELEGTE_STIMMZETTEL;LEERE_STIMMEN;UNGUELTIGE_STIMMZETTEL;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG;JA_STIMMEN_PROZENT
14.01.1866;Mass und Gewicht;3;Obligatorisches Referendum;;;;;16520;13969;2551;;84.6
14.01.1866;Gleichstellung der Bürger im Bezug auf Niederlassung und Gesezgebung;3;Obligatorisches Referendum;;;;;16587;14144;2443;;85.3
14.01.1866;Stimmrecht der Niedergelassenen in Gemeindesachen;3;Obligatorisches Referendum;;;;;16689;14182;2507;;85
14.01.1866;Besteuerung und zivilrechtliche Verhältnisse der Niedergelassenen;3;Obligatorisches Referendum;;;;;16613;13477;3136;;81.1
14.01.1866;Stimmrecht der Niedergelassenen in kantonalen Angelegenheiten;3;Obligatorisches Referendum;;;;;16630;14459;2171;;86.9
14.01.1866;Glaubens- und Kultusfreiheit;3;Obligatorisches Referendum;;;;;16725;13496;3229;;80.7
14.01.1866;Ausschluss einzelner Straftaten;3;Obligatorisches Referendum;;;;;16628;11932;4696;;71.8
14.01.1866;Schutz des geistigen Eigentums;3;Obligatorisches Referendum;;;;;16639;12933;3706;;77.7
14.01.1866;Verbot der Lotterie und Hasardspiele;3;Obligatorisches Referendum;;;;;16643;12860;3783;;77.3
12.05.1872;Totalrevision;3;Obligatorisches Referendum;;;;;20951;17484;3467;;83.5
19.04.1874;Totalrevision;3;Obligatorisches Referendum;;;;;21993;18232;3761;;82.9
23.05.1875;Bundesgesez betreffend Feststellung und Beurkundung des Zivilstandes und der Ehe;4;Fakultatives Referendum;;;;;16904;11986;4918;;70.9
23.05.1875;Bundesgesez über die politische Stimmberechtigung der Schweizerbürger;4;Fakultatives Referendum;;;;;16747;12061;4686;;72
23.04.1876;Bundesgesez über die Ausgabe und Einlösung von Banknoten;4;Fakultatives Referendum;;;;;15627;7811;7816;;50
09.07.1876;Bundesgesez betreffend die Militärpflichtersatzsteuer;4;Fakultatives Referendum;;;;;15385;10511;4874;;68.3
21.10.1877;Bundesgesez betreffend die Arbeit in den Fabriken;4;Fakultatives Referendum;;;;;16134;9279;6855;;57.5
21.10.1877;Bundesgesez betreffend den Militärpflichtersaz;4;Fakultatives Referendum;;;;;16073;10771;5302;;67
